辨識碼,卦序,卦名,組成,建議,運勢,愛情,求職,考試,事業
111111,1,乾,天,得此卦者在能力上並不是問題，最大的問題在於「時機」與自己的應變力。建議凡事不要過於固執，最好要能見機行事，隨機應變，做事要有彈性。,有地位擢升、名利雙收之象，功名榮顯得貴子。六親和睦，凡事謙和為貴，可吉。,彼此之間切勿逞強，摒除自我主義的觀念方可成就，但常有鬧意見之情況。,有貴人提拔，可發展，稱心。,有望。,能力強，能夠獨當一面。然而是否能夠亨通，則有待良好的時機。
222222,2,坤,地,謙卑退讓者有福，過於積極主動者反而一無所成。對於立定志向想做的事，應該要持之以恒，堅持到底，則可成功，操之過急，易致失敗。利於追隨於人，不適於自己獨當一面。,諸事不宜急進，退守以靜制動者吉。坤者大地平靜，任其他物所摧而不為所動者大利也。若醉心私慾，違背常理，則有無情之災。,男主動，女主靜，緩進可成，急則有失。,不稱意亦不理想，另尋。,希望不大。,小順。謙卑退讓，可找到好的老闆。但不利於創業。
212221,3,屯,水雷,屯卦代表｢困難｣，但不代表失敗。如果能夠屯積實力，走過｢凡事起頭難｣的階段，未來仍是無可限量。,逆勢，多有困惑，但不可妄進，宜守不宜進。堅定意志，凡事不可為一己之利而執意強行，皆有不成損破之象。宜步步為營，排除困難，始可通達。有初難後解之象。,不妥協，或已暫時失去連絡，否則就是出現不良狀況而有所阻礙，成就有困難也。而此卦男人得利，女人失利。,不利。,不理想。,創業惟艱，應多注重自己實力的培養，基礎的奠定。
122212,4,蒙,山水,能力不足以處理危機，最好的策略是向有經驗與智慧的人請益。但請益之前請先做好準備，誠心前往，避免繁鎖而一問再問的情況。,氣運不發，多迷惑。初時不順，須忍耐待機，漸可佳。切勿貿然行事或為人認保、作保，否則必有損失。凡事宜從上輩教誨，則運可通也。,此卦為未啟蒙之卦，致落花有意而流水無情。主要是缺乏勇氣與決心，致不成事也。若有成，此卦亦主勞碌耳。,未能如願，再等時機。,不理想。,能力不足以應付。需要再多方學習，向人求教。
212111,5,需,水天,需卦是藏有危機的一卦，雖然你的能力足以化險為夷，但仍不宜妄動，靜待佳機才是比較好的策略。,宜退守正道，不宜冒險前進，投機急取反而失利。須知貪小失大，智者必須待時也。,起初不如意，有耐心者方可成就，否則不成也。,不宜急取，急亦不得，再等待，再尋求。,要多用功。,雖有能力，但目前還沒有適當的機會。先設法渡過眼前危機為宜。
111212,6,訟,天水,注意福禍相倚，得未必是福，失未必是禍。你的堅持是很危險的，凡事不要走極端，不要頑強固執。能夠放棄爭訟則吉，平安是福；若是一意爭取到底，既使贏了也會召來後續的禍害。,百事閉塞不通，傷害頻繁，受中傷而又易陷於奸計，不如意之運也。得饒人處且饒人，得過且過，莫再爭訟，否則皆不利也。,多事之時，是非頻頻，受中傷不易成也。,難成。,不理想。很差。,有爭議，有法律的風險。
222212,7,師,地水,帶兵打仗首先要師出有名，其次用人則是要找老成持重，有豐富疆場經驗者為宜。無經驗者絕不可用。,事雖有不順、但要引以為鏡，記取教訓。不要圖私利而投機取巧。凡事應以正規而行，事物多變動，切忌獨立而行。困難多端，靠自己努力，摒除一切困難為上策。,慎防感情引起的衝突、傷害，難再有成。,獨立無望，有人扶持則可。,很認真，但不理想，繼續努力終有成就。,責任重大，很具挑戰性。無經驗勿試。
212222,8,比,水地,比道貴在能夠發自內心的積極，表現在外的則是當仁不讓，不落人後。只要積極表現出你的誠意，就能受到青睞。,運氣平順，與人相親處事則吉。可獲貴人提拔，但不可得志而非份橫行急進，否則遭破遜也。,兩相情悅，可得良緣。,有貴人，可有利。,金榜題名。,應該積極努力經營好上下屬之間的關係。
112111,9,小畜,風天,未來充滿不確定，當今之計可以退守，放下遠大的目標，活在當下，選擇眼前立即就可達成的小目標。,有蓄聚、阻止之意。一陰畜五陽，雖有雲雨而不下，雨之不下，大地不能得到滋潤，故此運勢有反覆、有口舌、又難以急調，諸事宜忍耐，等待時機。尤其女人得此卦更應在行為上，對事或對人有所節制。,語言不和，意見分歧，不太如意。,希望渺小。,不理想。,懷才不遇，前途不明。
111211,10,履,天澤,凡事必需謹慎小心，戒慎恐懼，如履薄冰，一切照規矩來，則可以亨通。要特別注意人與人的關係上，必需清楚分辨尊卑上下的份際，嚴守其應對之道。,有先勞後逸、始驚後安之意，雖有繁華，卻又反覆不和，故得此卦時為憂慮受危中而望喜渺。但謙虛反省請教於長者則吉。,相愛，但阻礙很多，雖然不易成功，但亦有以誠、禮相待而成婚姻者。,有貴人提拔，可發展，稱心。,有望。,必需循規蹈矩，凡事照規定來，注意上下的分工與份際，否則必然出重大差錯。
222111,11,泰,地天,雖然一切順利，萬事如意。但人無遠慮，必有近憂。對於事情的發展應當有防患於未然的遠見，則可長保安泰。反之，若不知守成不易，防患未然，則泰極否來，吉之後很快就會轉為凶。,諸事如意吉祥，前途事業均順利。切不可驕傲或任意從事，亦宜自惕勿太活躍，始能免於災難。凡事宜求內在之實，不求外在之虛，否則有破。,情投意合，良緣。勿任性，以維持吉象，反之則招破。,吉利亨通。,上榜有望，宜再努力勿懈。,上下和氣，打成一片。凡事順利。
111222,12,否,天地,除了靜待時機，等待否極泰來，或許可以多注意一下自己在溝通能力上的問題。若是為人上司，則應該設法放下身段，打破下屬的心結。若是為人下屬，則可設法將意見上達。,凶且衰，君子以險德避難，不可榮以祿也。邇勢不通達，諸事不順，有損失且波折多。故宜守固正道，若稍偏差，則災害至也。,陰陽相背，被拒千里之外。,先難後易，須有耐心去爭取勝利，否則凶。,不理想。,不順。
111121,13,同仁,天火,與人結盟應當要有信心與決心，更應注意自己的誠信與心胸氣度，否則中間可能出現的阻撓與障礙，不但可能讓你半途而廢，甚至惹禍上身。,得此卦為諸事開通、平安、吉祥、如意之象，有同情心，互愛、亨通之象，故宜好好掌握時機，維持盛泰。若有稍涉偏私或為私情之愛則有破兆，應以事業為重。,互悅其情，彼此間謙和以禮互敬，魚之得水，定成美眷。切忌氣盛，宜和。,吉利。,成績優良。,需找到貴人幫助才可成功，更應慎防小人相害。
121111,14,大有,火天,大有是非常好的一卦，凡事都順利而亨通。但要注意的是富有時應保持低調，不要炫耀，以免引來不必要的麻煩。,得時得運，隆盛昌榮也。然卦象藏有盛極必衰的預兆，不得不慎，以期保持其全盛之樞紐，可眾望所歸。有走紅、賺錢之勢，須謹慎不可驕縱。,可實現理想之吉象。,順利可行。,科甲明登。,吉星高照，事業順利。
222122,15,謙,地天,謙是修養自己，以德服人的一卦。因為虛心，所以更為富有，因為謙卑，所以崇高；功成不居，所以偉大。但這些都不是一蹵可及的，而是要持之以恒。,吉利平安，欣欣向榮之象，謙者前途大利，驕者橫行招敗。故以君子謙德，縱涉大川而無險也，卦利君子。正所謂謙受益滿招損也。,以謙恭相追求有成，可獲良緣，反之失利。,吉利。可成。,金榜題名。,功成不居，虛心退讓，久了自能亨通。
221222,16,豫,雷地,可以用「寓教於樂」的手段來完成嚴肅的事。凡事用心傾聽，以娛悅的心與人多做心靈的交流；不要沉溺而迷失自我，要懂得節制，適可而止。,此卦象徵萬物欣暢，如意安泰，可得上輩之助。切不能因繁華而怠惰，或沉醉於聲色歡場之中。好運不常有，當好好把握。,一帆風順，天賜良緣。,可得上輩提拔，有希望。,金榜題名。,利於建立人脈基礎。適於娛樂業。
211221,17,隨,澤雷,凡事順其自然，隨緣，做了讓自己高興就好，不要太強求。但切莫把隨緣當隨便，否則事情會敗壞。,物事均有去舊迎新之吉象，凡事與他人互相通達、協商，可名利雙收。倘若三心二意，或獨立單行，不聽人言勸，有自招災禍之虞。,目前重於情慾、經濟，依賴心較重，順著時事、心性而行即可，感情如家人般的結合。,雖吉，然若能謙遜待人，多接受別人意見，會得人提拔。,成績理想。,有兩面難以取捨的情況。不要有太大得失心，隨緣就好。
122112,18,蠱,山風,蠱卦面對的是一種沉疴已久的問題，所以不是解決眼前問題而已。所以在力精圖治、奮發有為的同時，重要的是必需重新擬定新的計畫，建立新的未來。,諸事不如意、積弊已深，未能進展，氣運雜亂。逢此宜鼓起勇氣，大膽加以革新，有內憂外患之象。,關係複雜，尤其男人到處留情，苦惱多，終會一刀兩斷。另覓對象可吉。女子若是再婚者，其前夫不良，且已斷緣再嫁。,不利。,落榜。,不知所措。應力圖振作，重新規畫打算一翻。
222211,19,臨,地澤,關心並督促事情要注意保持內心的喜悅，態度及手法的柔順。做事要能持續，不要虎頭蛇尾，則事情可到達新的境界。若半途而廢可能會帶來災難。,運勢漸增，諸事亨通如意，前途有望，仕途有成，可得貴人相助。上下安合。以和順可奏大功，宜誠心待人，可諸事順暢，急進或忘形者，有破財之象。,不可急，切忌意氣用事要求，柔順期待者有吉象。,順利可成。,金榜題名。,長官督促下屬。持續為宜。
112222,20,觀,風地,觀卦的吉道在於能夠接近事情的核心，並用心去觀看事情的發展，從中充實自己。反之，若是無法接近事情好好觀察，為凶。而若接近了，只是外行看熱鬧也是枉然。,處在有危險不穩的時運，耍多觀望時勢之利弊，待機行事，於人事物，須以誠待之，才能感化而倖免陷入困難也。,外表看好，內則虛浮，有上輩提攜可望達成，否則尚處在漂動不穩定的狀態。,不易。,不理想。,用心觀摩長官怎麼做，當能對你有所幫助。
121221,21,噬嗑,火雷,得噬嗑卦凡事能小有獲得，但需要明察秋毫、明辨是非的能力，除了解決中間可能遇到的困難，更要能分清什麼是該得，什麼是不該得的，以免因得而惹禍上身。,諸事不遂心，多受阻害。有紛爭，無法前進之時，宜常守原則，不為利誘，以免被人中傷。然而一般人多有無法逃避利誘者，故必受禍，若能和氣處事為安。更須突破困難方可通達。,有被人阻礙或橫刀奪愛之事。但勿氣餒，勇往邁進即可成功，否則放棄罷了。,多生枝節，不利。唯有積極去謀求方有所成就。,不佳。,有困難待解決。
122121,22,賁,山火,卜得賁卦只適宜做小事，不宜做大事，而且既使有成，也只是小成，過程也不會太平順。賁卦最好不要矜持過度，以致於黑白不分。,卦象是象徵其人外表好看，內在空虛，因此，必須充實自己，凡事深思遠慮，與人和睦相處，能獲得意外利益。切忌因小失大，更無須為了掩飾外觀而造成不必要的損失。凡事踏實，按部就班為是。,不可自視太高，也勿把對方及自己都估計太過，須知華麗的外表並不能決勝負，宜相誠以對，若自視太高反不得所愛。宜慎。,條件勿太苛求，可成。,不理想。但人家以為你讀得不錯。,做小事可以。大事凶。要注意，不要公私不分。
122222,23,剝,山地,剝卦為陽氣即將被剝盡的時候，諸事不宜。只能靜待時機，等待時局轉變，事情進入另一個循環時再重新開始。,運帶破、帶衰，有不利之災禍，不可抱持野心，自作聰明，否則自掘墳坑。得此卦者，必有與歡場女子耗費餞財而又被陷害之苦惱，且有受部下連累而損財，為不得志之時運也。,卦象陰太盛，故男求女利，女求男不利。口舌多，不可奢望太高。,順而止，要慎機行事，不可粗心大意。,落榜。,敗壞走下坡，每況愈下。
222221,24,復,地雷,此時適於閉關休養生息。凡事莫心急，在最冷的冬天裡，生機暗藏，只需等待春天一到，就會欣欣向榮。,一陽來復，萬事甦伸，不久就會好轉。初時不宜急進，腳踏實地則有一本萬利、開運亨通之象也。,性急則敗，緩可得利。,勿太急，可成。,愈考愈好。,黎明前的黑暗，可靜候佳機。
111221,25,無妄,天雷,不要因為遇到災難而怨天尤人，甚至進一步胡作非為，否則事情會更糟而無法收拾。凡事守靜，循規蹈矩自可渡過難關。,無妄的道理者，乃真實無虛要踏實。故若做事操守而能堅貞固執者吉。若不行正道，行為不檢點者，必然有災禍至也。切忌醉沉於利、慾之中，慎之。,成功與否，須看各人之修為德性而定。然此卦有不順遂、不和，或有被傷害者欲分離之象耳。,,筆試有利，口試不利。,有凶險，但更應循規蹈矩。
122111,26,大畜,山天,對於事業很好，大膽前往會受到重用，但將難以兼顧家庭，甚至可能離鄉背井。因此自己需要的是什麼必需思考清楚。,大凡諸事不可好高鶩遠，腳踏實地、務實行事，始能成就大業。以蓄德為主可吉，若因得勢而氣盛凌人，目空一切者，終招失敗之象。,雖有些阻礙，但終有望，然氣盛則自招叛而破。,不利。再待時。,上榜。,會受到重用，功成名就。
122221,27,頤,山雷,謀事時機未到，最好再閉關修練。凡事以守靜為吉，要知所節制，慎防口舌之災，不管是嘴巴講出去的話還是吃進去的東西。,有欠缺考慮、魯莽妄動之害。若有懷陰謀，與人互相猜疑或爭端者更不利。要守正道而善行之，凡事切忌任性非為。,不可傲氣凌人。雖有些阻礙，但此情令人意亂情迷，耍冷靜觀察。因為頤卦為養，即是食，對自己本身之損益，跟自己吃下去的東西，是相對性質的反應。故宜重新估計對方的價值，是益是損？切勿因情誤了自己的青春。,不成。,尚可。,需要加強基本的能力。凡事鴨子滑水為宜。可再多充實自己的技能。
211112,28,大過,澤風,根基不穩，基礎很弱，既使有棟粱之才獨撐大局而能化解危機，但一切還是應該回頭思考如何穩固根本，避免繼續腐化。或者另求出路，也是良策。,諸事衰退，多煩惱，恐水難或犯官符。有力不從心，負擔過重之象。逢挫折而將墜落之時運，故得此卦者，凡事切忌經舉妄動，否則有過。,雙方眼光均太高，且各已有相好之人，花心又不實，何需再另談感情之事？無望。,困難很多。,苦惱也。不佳。,有將無兵，難成大事。
212212,29,坎,水,面對逃無可逃的危險要能安之若命，進一步求通達變，那麼或可化險為夷，甚至達成目標；反之若無法泰然處之，那麼卜此卦者為大凶。,危機重重，宜容忍自重，保持心境開朗，沉著應付，則可有脫險之機。吃得苦中苦，方為人上人，凡事莫與人爭長短，否則有不幸災害。,溺於情愛之中，然本身和外圍的困擾和壓力都很大。,不利。,不理想。,進退都有困難。
121121,30,離,火,這一卦雖吉，但顯然是有條件的：若能柔順中庸則吉，反之則不吉。另要注意事情是否外表過於美麗，華而不實；或者人是否流於小聰明，而缺乏圓融的智慧。,雖然目前外觀極盛一切順利，可能為假象、虛象，而且雙火之燃，其內部、內情已有所損，又雙火之烈，如烈日中天，故凡事宜守之，勿太急進，待人以謙和、理性，否則必有所損失。宜順從長輩，勿因急躁而妄動或意氣用事，則可欣欣向榮也。,對方明亮有活力，性急者弄巧成拙，誠靜者其情必有成就。,尊重長輩安排。待時機可獲良好事業。,成績不錯。,適於文學、文創、畜牧等產業。凡事應當走中道。
211122,31,咸,澤山,如何正確使用感情來處世？這是卜得咸卦所需注意的基本問題。虛心傾聽，取得他人共鳴，那麼事情自然可成。但若感情用事，濫情而不守禮法，則大凶。,吉祥如意。但勿為不正當的感情而意亂迷惑，或過於衝動。然得此卦時，會有男貪女愛之箏，非名正者必遭損，宜慎之。,互敬互愛，清清白白者定成眷偶。若名不順而貪愛者，當知懸崖勒馬。,皆能如意得償。,成績佳。,多傾聽他人的意見，以同理心做事。
221112,32,恆,雷風,如果你想要的就是穩定，那麼這就是一個大吉之卦；但如果你所想要的是挑戰與成長，那麼這是一個潛藏未來成長障礙的卦。因為過於穩定，將會缺乏變化與創新。,諸事亨通而沒有犯錯方能恆久。其象利於正常固守，並須有毅力持行。雷風者，知守常則吉，妄動者則不能亨通。,順利如意，有美好結果。,向東南有利。,高分紀錄。,穩定但缺少變化、創新，與成長。
111122,33,遯,天山,小人得勢的時候，不要想著功成名就，凡事躲得越快越遠越好；功成不居，急流勇退，隱居深山，是最好的去處。,小人道長，君子須遠離小人，諸事宜守。艮者，止也，言行物事要謹慎，才能得安而運泰。若遇小人之害，見陷於是非之地，勿管閒事，識時務為俊傑。,落花有意，流水無情，適時地另外選擇其他對象吧！,須待時機。,不理想。,無法有成就，只能求明哲保身。
221111,34,大壯,雷天,理直氣壯、據理力爭有時雖有必要，但卻很可能因此造成不必要的傷害。凡事應當多點冷靜審察情勢，不要莽撞，就能夠避免不必要的錯誤與災難。,剛強過盛者，若不思正與順，則有躁動之害耳。雖運勢強大，時至當盛之期，但忌血氣方剛。處事欠思慮而遭破運，宜力持和平、順氣，勿得罪人，否則會因此而招來失敗，切勿貪妄。,有成就，但缺乏仁和謙恭，易遭反悔，須慎之。,可順利。勿太剛強行事。,有好成績，但勿太驕傲。,理直氣壯，據理力爭或可達到目標，到小心因此而造成與人衝突及不和。
121222,35,晉,火地,除了卜問感情，晉是一個大吉之卦，聰明才智會受到肯定。卜問生意與財運也都能有所斬獲。,事業繁榮，聲譽漸高，於人、事、物均獲宏利之際，與人共事者吉。但要知進德虛懷，即是諸凡對人、事宜謹守德操，不可傲溢心懷，否則有破象也。但財運旺。,光明出於地上。柔順而求，可成眷屬。,受人提拔，可有成就。,科甲登榜。,受到重用，發揮所長，連升三級，升官加薪。
222121,36,明夷,地火,局勢混亂，求財求事皆無成，不要想著功成名就，應當以明哲保身、求取生存為第一要務。,逆勢下降，時運未濟，物事勞苦，逢小人加害，光明受到掩蔽而失光明，所以多艱難之運也。有萬事阻滯，遇事迷惑、受災。故宜守貞固之道，忍耐自重，等待時機。,有被背叛拋棄之象，未能被對方接受，不成也，而且受傷很深重。,日下無希望，須再待時，需防被騙、失財、失身。,無望。,情勢動亂，凡事退避，明哲保身。
112121,37,家人,風火,凡事應當優先反躬自省，處理好自己的份內事、家務事，處理好了一切問題都可迎刃而解。,平安無事，且有喜事之象，與家人共事者大利。,有情人終成眷屬。,有良好機會，勿失。,上榜有名。,應當管理好自己部門內，或是自己職務上的事，諸事自然順利，水到渠成。
121211,38,睽,火澤,人與人之間意見不和並不見得是壞事，如何包容異己，同中存異，和而不同，讓「不同」不變成「不和」是卜卜得睽卦該學習的智慧。,水火不相容，則氣運不通，勢行低落，諸事難成。凡事有違叛之時，若能處變不驚，不逞強出頭，尚可轉危為安。有家內不和，親友疏散之情。宜力持溫和，忍耐去克服困難，始可渡危。,彼此間無意向，無望也。,無希望。,落榜。,孤軍奮戰。可以做小事，無法做大事。
212122,39,蹇,水山,"	諸事不宜，強行則有危險。知難而退，回家修練，等待機會，是蹇卦的最佳策略。",衰運，多災難，進退兩難之處境，要自重而不可妄動，此時應守正道待時也。凡事雜亂，更防小人之害，絕不可涉險境，否則災害必至。,困境重重，情緣有破，捨棄難定之際。然此卦主破象。,眼前毫無希望。,落榜。,事情窒礙難行，應當知難而退，重新閉關學習成長。
221212,40,解,雷水,"	凡事要積極主動，遇到任何事情，不要拖延，馬上解決則吉。若有出行，則盡早出發為宜。",順勢而行，速把握良機、堅持努力，快速處理可成。貴人在遠方，有助，宜出外營謀。大運在西南。,不用猶豫，堅持可成。,有貴人相助。,題榜在望小成。,任何問題都要掌握時機盡快做決定，馬上解決。
122211,41,損,山澤,損並不是一般人常識中認為的「損失」，是一個壞卦。反而是「元吉」且「利有攸往」──所以其實損卦是個還算不錯的卦，只要你眼光放遠，願意暫時小小犧牲一下。,諸事不如意，若傾於利慾不當之心則有災，散財之損。必須能夠悟其所損，方能挽回局勢。與人共事商量則可收損失之象。,以誠信可以成功，可得良緣，但此卦女者卜得有較大的損失。,可慢慢受重用。,多努力，榜上可題名。,宜犧牲個人以成就長官，放長線釣大魚。
112221,42,益,風雷,此卦雖吉，但屬於長遠性的利益。凡事必需努力上進，特別要設法增加自己的優點與技能。,乘盛吉之運，可得他人之助而諸事順暢，家業有成。大致吉利之運也。,相成相益，可成良緣。,大好時機，勿錯過。,成績優良，父母有喜悅之象。,積極投入工作，多找成長機會，自我充實，將有益於未來升遷。
211111,43,夬,澤天,內心固然要果決，但手段則要委婉。在上位者要能夠施惠於下則可得人心。,日前雖然鴻運當頭，終會遇到困難與危險，凡事不可輕舉妄動，宜隨時警惕自己，留心意外災害。住所可能會有變動，亦有文書、契約之失利，易生錯誤。慎勿傲氣或自以為是，不謙和者定有災。,男人不專情之象，乃孽緣也。,有困難，或得不到好職位。,不理想。,有人事鬥爭問題。可以的話以施恩來攏絡人心，殺手鐧也會傷到自己。
111112,44,姤,天風,既然是「邂逅」，如若有什麼好事，也只是一時的運氣，不應當因此做長久之計。又姤卦是屬於女人的卦，男性諸事不宜，或者必需聽命於女子。女子則可掌控局面。,陰長陽衰，男人傾防因色受禍，諸事不如意，不能上進，沉於女色之凶象也。凡事進取宜慎重。,男女對象均不理想，有第三者出現，因而徒勞無功，會離散。,難成。,不理想。,偶爾的運氣。女子事業大吉，男子則聽命於女子。
211222,45,萃,澤地,萃卦最適於「聚集人氣」一類的事務，若可行的會，集合眾人之力也是解決事情的很好方法。,昌隆，得信於人，承上輩照顧，事業吉昌，但宜小心財務上的糾紛。,可達成其願望。,可順利，有成就。,常保佳績。,適於行銷、廣告活動。
222112,46,升,地風,成長原本就是緩慢而需要時間的，但只要耐心等候，有朝一日一定可成。若能找到貴人相助，也可加快事情的進展。,諸事向上發展，開運之象，南方有吉慶，可名利雙收也。,不宜過急，慢慢追求可成。,有利。,進步。進取有利。,腳踏實地可以穩定成長，若找到貴人提攜，則可加快晉升。
211212,47,困,澤水,所謂「窮則變，變則通」，處困卦應當堅守節操，謹言慎行，然後才能夠窮中求通。這時不只言多必失，也很可能引來羞辱。所以凡事應當多做少說。,不如意，被小人欺，勞而無功，破損之災。一事難成，運衰也。宜守己待時。,失敗之象，難成氣候。,不得時亦不得意，再待時機。,不理想。,窮困潦倒，有破產甚至負債的危險。
212112,48,井,水風,井道重在自清，水清則人群至，德善則人心服。因此凡事應多反躬自省，修養自己的內涵。最怕急功近利，往往災害由此而生。,缺乏衡力，因井為靜而不能移之物。故凡事已無法進取，不如守之泰然。,任其自然發展，但情況不怎麼好，有破裂之相。,安於本份，換新的工作也是小工作。,尚可。,培養好自己的專業能力，日積月累自然可成。
211121,49,革,澤火,洗心革面為吉，如果自己不革新，守舊不變，等著別人來改變，那就會變成革命。,不穩定，多變化之際，凡事均有所變動，故需棄腐朽而立新者，宜下決心改革。但仍須謹慎改革之道，善改則吉，惡改則凶。,去者已矣。凡事均有新的開始，迎新為宜。,不可守舊，改變職事有利之時機也。宜速把握良機。,越來越好。,有人事惡鬥不和的情況。變革為吉。
121112,50,鼎,火風,鼎卦雖然諸事大吉，但是吉道在於養賢、創新，與耳聰目明，最怕者就是守舊不變。,能解決困難，取得事物之穩定而名利雙收，會有不錯的成就，最好新找外人來共事、合夥。,吉中帶凶，外表平穩順利，可能另有第三者的介入，且在暗中發展不易被發現，需小心或心裡有準備。,大利。有上輩提拔。,登科上榜。,大吉，有得權之象。
221221,51,震,雷,面對變動若能因為恐懼而有所警惕，謹慎處事，則有驚無險，因此而得福。反之，若對變動麻木不仁，則可能有後來的災害。,表面似盛泰，但正處於多事之秋，宜慎重，勿自視過高，無益也。有動盪、不安、驚懼之象耳。,有虛無實，是非、外語雜多。,不利。,可榜登科甲。,事情有突然的變動。戒慎恐懼則吉。
122122,52,艮,山,應當停止的時候就停止，千萬不要輕舉妄動。守住本份，求得不犯錯，是處艮卦的最佳策略。,應當潔身自愛，依賴心不要太重，否則不利。凡事不可輕舉妄動，諸事宜守，相輔得吉。儒家有言:『靜亦定，動亦定』，此非言死等，宜中正德行，固守貞常之道，凡事有定之理也。,有對峙、單戀、難合之勢，雙方各有阻撓也。,固守本份為宜。,落榜。,停頓，發展非常困難。
112122,53,漸,風山,"	忌走捷逕，不能躁進。依禮法而行，循序漸進，則諸事大吉。",逐漸順利，光明開運之象。凡事物務必掌握時機，循序漸進，可得吉慶。須防款項交易之差錯及色情之災。,慢慢交往可成就良緣。但此卦有女子思男或已入男家，未能得男方家長同意者，但有心中能成良緣。,可尋得良好工作。,成績有進步。,分段擬定目標，按部就班，循序漸進，可以有所獲得。
221211,54,歸妹,雷澤,凡事要特別注意不要感情用事，注意法律、輿論等風險。,禍出百端，事物有違常理。初時有悅，不久反凶，禍害隨至。,孽緣，必以悲劇收場。,放棄算了，再另做打算。,有重新再讀一年之況。,結盟、合作可以成功，但有法律風險。其餘事務，凶，無利可圖。
221121,55,豐,雷火,凡事都適宜盛大舉行，讓它眾人皆知。事情可以打鐵趁熱，順勢推舟。,豐者必有所得，明智者宜於最全盛有收穫時，保身明哲。然人多貪而不厭，於滿足，而挺險圖利，終有悔。尤其應注意有訴訟之事，有損財或火災之象。,熾情，好動，情可成。若得意忘形則有失。,有利。職務工作變動大，或外務之類。,及格有望。,不需太過擔心，有貴人相助。適於行銷、廣告、活動等之舉行。
121122,56,旅,火山,行旅在外行事應低調，聰明於內，謹慎於外，守靜為宜。,諸事不定，宜考量他人之意見。潔身自愛，始可改變厄運，否則必有凶。,不穩定、遊戲心態重，宜以平常心看之，不能太重視。,白費心神。,很差。,不穩定。
112112,57,巽,風,事緩則圓，凡事柔順以對，慢慢進行，都可成功。但小事可成，大事凶。宜找貴人。 做任何事都要記得不厭其煩的再三叮嚀。,此卦象徵多波折，游離不定之運也。此時要處理不驚，堅定意志，物事果斷而隨機應變，不必一味跟從順行。待人接物宜心平氣和，則可得意外之收穫。切記狂風之下必有所損。,要冷靜。風若和，日必麗。風若凝聚，可知暴風雨將至，終身大事不可不慎。時好時壞，把戲真不少，均輕飄不實也。,不能達到理想，可隨機應變。,宜多用功。,市利三倍，大吉。
211211,58,兌,兌,喜悅是趨動人前進的很大力量，若能善加利用則人冒死也會為其效勞。兌卦又有講習之象，能夠與人相互切磋，當有所得。,有喜亦有憂，有譽亦有譏，雖得吉慶如意，然應守持正道，否則犯災。,有嬌蠻、任性鬥嘴之象，切勿意氣用事，因此卦內剛，定會有口舌，隨和相處可吉。有如兩小無猜的純純感情般。,得利，但亦不可太大意。,成績佳。,小亨通。適於娛樂事業。
112212,59,渙,風水,危險可化解。但凡事若要成功，則較為困難，問題在於人心過於渙散。如果能夠對此對症下藥，得以小有成就。,初有小損，但終可解困而心悅，凡事小心則百事亨通，任性放縱必敗。遠方物事吉利，但宜守其常。,因有一些小障礙，而可能會造成離散之象，外在因素，情緣仍在，有可能在復合。,雖有挫折，但可成。宜耐心。,尚可，宜再加油。,危險可除，但難有成就。
212211,60,節,水澤,節制不夠會散亂，節制太過則成苦節、吝嗇，而走向窮困。因此要注意如何取得平衡與中庸，而長遠來說，最好的節制方法還是建立制度。,以和悅之心去渡過險境，則可克難而出險道。而悅者何苦惱，陷者有悅象，故此時需要有節制為宜。,是否成就，須看自己之節制之品德，因得此卦，若女者對感情堅貞而不隨便者，可吉也，否則破。,再待時機，成功率小。,須力求上進，不可怠忽。榜尾有名。,適當節制可求得小亨通。
112211,61,中孚,風澤,中孚也是一個化險為夷之卦，吉道在於虛心、誠實，信譽。只有誠信才能真的感動人、說服人，而助你渡過危險。,如三月之春花，似錦大地，與人謀事均得利。誠者，立業之本也，若存邪曲之念則破吉運，須認清善惡。得此卦誠者佳，尤利他鄉財路。,雙方以誠相待，良緣也。,有利。,必定上榜。,有財務虛空之象，為長遠計，此時商譽、信用格外的重要。
221122,62,小過,小過,得小過卦有如在躲獵人的小鳥，靜靜不動反而是最安全的，若要動，則往樹底下、草叢中躲為吉，如果想要往上飛以逃脫獵人的追補，反而大凶。,行事不如意，宜謹守，與六親不和之象。又忠言逆耳犯上得罪人之事，反為害己之因，故凡諸事均有枝節、苦煩，不能達志耳。,擁有過，但自覺不相稱，已經不掛於心矣。,無指望。,不理想。,凡事退一步為吉，進一步、往上爬則凶。
212121,63,既濟,水火,人無遠慮，必有近憂；若只沉浸於眼前的完美狀態，則凶險不遠。,功名雙收。極盛既至，但須知物極必反，宜退守為吉，再進則凶。但得此卦者，皆有因一時順利而忘本，大意失荊州，終有人不和、心迷亂之象。,起初出雙人對，形影不離，久後反無情必散。,濟急可，不宜良久。,實力有，但需視考期之日吉凶而定，小吉。,亨通。但應提防即將開始走下坡。
121212,64,未濟,火水,做任何事情之前都要小心觀察之後再做判斷，絕對不可輕舉妄動，小心被美麗外表所欺騙。,氣運不通，諸事不能如願，有初衰後盛之數。凡事要有耐心去突破難關，前途將大有可望。此時宜採取篤實的方針和毅力，能夠努力建立自己者，可名利雙收。與人共謀事者，終有大利，可為之。,剛開始時意見不能溝通，格格不入。若能試著去接受對方，可成也。,枉費心機，無希望，再等候時機。,不錯，有好成績。,若不用心明辨真相，可能受到二次傷害。無利可圖。
